user_id,Date,touchpoint,Journey Number,User-Journey,Row
a100000001,2018-01-14,Facebook,1,a100000001-1,1
a100000002,2018-01-14,Instagram,1,a100000002-1,1
a100000003,2018-01-14,Instagram,1,a100000003-1,1
a100000004,2018-01-01,House Ads,1,a100000004-1,1
a100000005,2018-01-14,Facebook,1,a100000005-1,1
a100000006,2018-01-14,House Ads,1,a100000006-1,1
a100000007,2018-01-14,House Ads,1,a100000007-1,1
a100000008,2018-01-15,House Ads,1,a100000008-1,1
a100000009,2018-01-15,Push,1,a100000009-1,1
a100000010,2018-01-15,Facebook,1,a100000010-1,1
a100000011,2018-01-15,Instagram,1,a100000011-1,1
a100000012,2018-01-15,Instagram,1,a100000012-1,1
a100000013,2018-01-01,Push,1,a100000013-1,1
a100000014,2018-01-15,Facebook,1,a100000014-1,1
a100000015,2018-01-15,House Ads,1,a100000015-1,1
a100000016,2018-01-16,House Ads,1,a100000016-1,1
a100000017,2018-01-16,House Ads,1,a100000017-1,1
a100000018,2018-01-16,Push,1,a100000018-1,1
a100000019,2018-01-16,Facebook,1,a100000019-1,1
a100000020,2018-01-16,Instagram,1,a100000020-1,1
a100000021,2018-01-16,Instagram,1,a100000021-1,1
a100000022,2018-01-01,Facebook,1,a100000022-1,1
a100000022,2018-01-16,Facebook,1,a100000022-1,2
a100000023,2018-01-17,House Ads,1,a100000023-1,1
a100000024,2018-01-17,House Ads,1,a100000024-1,1
a100000025,2018-01-01,Instagram,1,a100000025-1,1
a100000026,2018-01-17,House Ads,1,a100000026-1,1
a100000027,2018-01-17,Push,1,a100000027-1,1
a100000028,2018-01-17,Facebook,1,a100000028-1,1
a100000029,2018-01-01,Conversion,1,a100000029-1,1
a100000029,2018-01-01,House Ads,1,a100000029-1,2
a100000030,2018-01-01,Conversion,1,a100000030-1,1
a100000030,2018-01-01,House Ads,1,a100000030-1,2
a100000031,2018-01-01,House Ads,1,a100000031-1,1
a100000031,2018-01-01,Conversion,1,a100000031-1,2
a100000032,2018-01-01,House Ads,1,a100000032-1,1
a100000032,2018-01-01,Conversion,1,a100000032-1,2
a100000033,2018-01-01,Conversion,1,a100000033-1,1
a100000033,2018-01-01,House Ads,1,a100000033-1,2
a100000034,2018-01-01,House Ads,1,a100000034-1,1
a100000034,2018-01-01,Conversion,1,a100000034-1,2
a100000035,2018-01-01,House Ads,1,a100000035-1,1
a100000035,2018-01-01,Conversion,1,a100000035-1,2
a100000036,2018-01-01,Conversion,1,a100000036-1,1
